id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000041,35.05,10.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000042,35.05,10.25,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000043,35.05,10.35,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000044,35.05,10.45,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000045,35.05,10.55,0,0.0,0.0,0.0,0.0
px_000046,35.05,10.65,0,0.0,0.0,0.0,0.0
px_000047,35.05,10.75,0,0.0,0.0,0.0,0.0
px_000048,35.05,10.85,0,0.0,0.0,0.0,0.0
px_000049,35.05,10.95,0,0.0,0.0,0.0,0.0
px_000050,35.05,11.05,0,0.0,0.0,0.0,0.0
px_000051,35.05,11.15,0,0.0,0.0,0.0,0.0
px_000052,35.05,11.25,0,0.0,0.0,0.0,0.0
px_000053,35.05,11.35,0,0.0,0.0,0.0,0.0
px_000054,35.05,11.45,0,0.0,0.0,0.0,0.0
px_000055,35.05,11.55,0,0.0,0.0,0.0,0.0
px_000056,35.05,11.65,0,0.0,0.0,0.0,0.0
px_000057,35.05,11.75,0,0.0,0.0,0.0,0.0
px_000058,35.05,11.85,0,0.0,0.0,0.0,0.0
px_000059,35.05,11.95,0,0.0,0.0,0.0,0.0
px_000060,35.05,12.05,0,0.0,0.0,0.0,0.0
px_000061,35.05,12.15,0,0.0,0.0,0.0,0.0
px_000062,35.05,12.25,0,0.0,0.0,0.0,0.0
px_000063,35.05,12.35,0,0.0,0.0,0.0,0.0
px_000064,35.05,12.45,0,0.0,0.0,0.0,0.0
px_000065,35.05,12.55,0,0.0,0.0,0.0,0.0
px_000066,35.05,12.65,0,0.0,0.0,0.0,0.0
px_000067,35.05,12.75,0,0.0,0.0,0.0,0.0
px_000068,35.05,12.85,0,0.0,0.0,0.0,0.0
px_000069,35.05,12.95,0,0.0,0.0,0.0,0.0
px_000070,35.05,13.05,0,0.0,0.0,0.0,0.0
px_000071,35.05,13.15,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000072,35.05,13.25,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000073,35.05,13.35,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000074,35.05,13.45,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000075,35.05,13.55,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000076,35.05,13.65,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000077,35.05,13.75,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000078,35.05,13.85,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000079,35.05,13.95,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000080,35.05,14.05,5,0.16666666666666666,0.15351827510938587,153.51827510938588,184.22193013126306
px_000081,35.05,14.15,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000082,35.05,14.25,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000083,35.05,14.35,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000084,35.05,14.45,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000085,35.05,14.55,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000086,35.05,14.65,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000087,35.05,14.75,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000088,35.05,14.85,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000089,35.05,14.95,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000090,35.05,15.05,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000091,35.05,15.15,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000092,35.05,15.25,6,0.2,0.18126924692201818,181.26924692201817,217.5230963064218
px_000093,35.05,15.35,4,0.13333333333333333,0.12482668095705252,124.82668095705252,149.792017148463
px_000094,35.05,15.45,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000095,35.05,15.55,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000096,35.05,15.65,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000097,35.05,15.75,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000098,35.05,15.85,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000099,35.05,15.95,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000100,35.05,16.05,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000101,35.05,16.15,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000102,35.05,16.25,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000103,35.05,16.35,0,0.0,0.0,0.0,0.0
px_000104,35.05,16.45,0,0.0,0.0,0.0,0.0
px_000105,35.05,16.55,0,0.0,0.0,0.0,0.0
px_000106,35.05,16.65,0,0.0,0.0,0.0,0.0
px_000107,35.05,16.75,0,0.0,0.0,0.0,0.0
px_000108,35.05,16.85,0,0.0,0.0,0.0,0.0
px_000109,35.05,16.95,0,0.0,0.0,0.0,0.0
px_000110,35.05,17.05,0,0.0,0.0,0.0,0.0
px_000111,35.05,17.15,0,0.0,0.0,0.0,0.0
px_000112,35.05,17.25,0,0.0,0.0,0.0,0.0
px_000113,35.05,17.35,0,0.0,0.0,0.0,0.0
px_000114,35.05,17.45,0,0.0,0.0,0.0,0.0
px_000115,35.05,17.55,0,0.0,0.0,0.0,0.0
px_000116,35.05,17.65,0,0.0,0.0,0.0,0.0
px_000117,35.05,17.75,0,0.0,0.0,0.0,0.0
px_000118,35.05,17.85,0,0.0,0.0,0.0,0.0
px_000119,35.05,17.95,0,0.0,0.0,0.0,0.0
px_000120,35.05,18.05,0,0.0,0.0,0.0,0.0
px_000121,35.05,18.15,0,0.0,0.0,0.0,0.0
px_000122,35.05,18.25,0,0.0,0.0,0.0,0.0
px_000123,35.05,18.35,0,0.0,0.0,0.0,0.0
px_000124,35.05,18.45,0,0.0,0.0,0.0,0.0
px_000125,35.05,18.55,0,0.0,0.0,0.0,0.0
px_000126,35.05,18.65,0,0.0,0.0,0.0,0.0
px_000127,35.05,18.75,0,0.0,0.0,0.0,0.0
px_000128,35.05,18.85,0,0.0,0.0,0.0,0.0
px_000129,35.05,18.95,0,0.0,0.0,0.0,0.0
px_000130,35.15,6.05,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000131,35.15,6.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000132,35.15,6.25,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000133,35.15,6.35,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000134,35.15,6.45,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000135,35.15,6.55,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000136,35.15,6.65,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000137,35.15,6.75,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
