id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000139,44.25,8.95,0,0.0,0.0,0.0,0.0
px_000140,44.25,9.05,0,0.0,0.0,0.0,0.0
px_000141,44.25,9.15,0,0.0,0.0,0.0,0.0
px_000142,44.25,9.25,0,0.0,0.0,0.0,0.0
px_000143,44.25,9.35,0,0.0,0.0,0.0,0.0
px_000144,44.25,9.45,0,0.0,0.0,0.0,0.0
px_000145,44.25,9.55,0,0.0,0.0,0.0,0.0
px_000146,44.25,9.65,0,0.0,0.0,0.0,0.0
px_000147,44.25,9.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000148,44.25,9.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000149,44.25,9.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000150,44.25,10.05,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000151,44.25,10.15,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000152,44.25,10.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000153,44.25,10.35,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000154,44.25,10.45,0,0.0,0.0,0.0,0.0
px_000155,44.25,10.55,0,0.0,0.0,0.0,0.0
px_000156,44.25,10.65,0,0.0,0.0,0.0,0.0
px_000157,44.25,10.75,0,0.0,0.0,0.0,0.0
px_000158,44.25,10.85,0,0.0,0.0,0.0,0.0
px_000159,44.25,10.95,0,0.0,0.0,0.0,0.0
px_000160,44.25,11.05,0,0.0,0.0,0.0,0.0
px_000161,44.25,11.15,0,0.0,0.0,0.0,0.0
px_000162,44.25,11.25,0,0.0,0.0,0.0,0.0
px_000163,44.25,11.35,0,0.0,0.0,0.0,0.0
px_000164,44.25,11.45,0,0.0,0.0,0.0,0.0
px_000165,44.25,11.55,0,0.0,0.0,0.0,0.0
px_000166,44.25,11.65,0,0.0,0.0,0.0,0.0
px_000167,44.25,11.75,0,0.0,0.0,0.0,0.0
px_000168,44.25,11.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000169,44.25,11.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000170,44.25,12.05,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000171,44.25,12.15,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000172,44.25,12.25,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
